"will, vil",ויל
aba,אבא
abir,אביר
achava,אחוה
achi,אחי
achiad,אחיעד
achiam,אחיעם
achiav,אחיאב
achiel,אחיאל
achiezer,אחיעזר
achihud,אחיהוד
achikam,אחיקם
achimeir,אחימאיר
achinadav,אחינדב
achinoam,אחינועם
achishay,אחישי
achitov,אחיטוב
achiya,אחיה
achlama,אחלמה
ad,עד
ada,אדה
adam,אדם
adama,אדמה
adamit,אדמית
adar,אדר
adara,אדרה
adaya,עדיה
adel,עדאל
adela,אדלה
adele,אדל
adeline,אדלין
aderet,אדרת
adi,עדי
adiel,עדיאל
adiela,עדיאלה
adin,עדין
adina,עדינה
adino,עדינו
adir,אדיר
adira,אדירה
adiv,אדיב
adiva,אדיבה
adli,עדלי
adoram,אדורם
adore,אדור
adrian,אדריאן
adriana,אדריאנה
adva,אדוה
afek,אפק
afeka,אפקה
afik,אפיק
agam,אגם
agamit,אגמית
agas,אגס
agat,אגת
agnes,אגנס
agur,עגור
ahala,אהלה
ahaliav,אהליאב
ahaliba,אהליבה
aharon\aaron,אהרון
aharona,אהרונה
ahav,אהב
ahava,אהבה
ahavatel,אהבתאל
ahavit,אהבית
ahavniel,אהבניאל
ahavtia,אהבתיה
ahuda,אהודה
ahuv,אהוב
ahuva,אהובה
ahuvi,אהובי
ahuvia,אהוביה
ahuviel,אהוביאל
ahuvit,אהובית
aimee,איימי
akiva,עקיבא
albert,אלברט
aldo,אלדו
alevtina,אלבטינה
alex,אלכס
alexander,אלכסנדר
alexandra,אלכסנדרה
alexei,אלכסי
alfons,אלפונס
alfonso,אלפונסו
alfred,אלפרד
alfredo,אלפדו
alice,אליס
alina,אלינה
aline,אלין
aliz,עליז
aliza,עליזה
allegra,אלגרה
allegria,אלגריה
allen,אלן
allison,אליסון
alma,אלמה
almar,אלמר
almog,אלמוג
almoga,אלמוגה
almogit,אלמוגית
alon,אלון
alona,אלונה
aloni,אלוני
alonit,אלונית
alter,אלטר
aluma,אלומה
alva,עלוה
alvit,עלוית
amal,עמל
amalia,אמליה
amanda,אמנדה
amarel,אמראל
amatzya,אמציה
amber,אמבר
ami,עמי
amiad,עמיעד
amichai,עמיחי
amiel,עמיאל
amihud,עמיהוד
amikam,עמיקם
aminadav,עמינדב
amioz,עמיעז
amir,אמיר
amira,אמירה
amiram,אמירם
amiran,אמירן
amirel,אמיראל
amiri,אמירי
amirit,אמירית
amit,עמית
amital,עמיטל
amittai,אמיתי
amitz,אמיץ
amitzur,עמיצור
amnon,אמנון
amor,אמור
amos,עמוס
amotz,אמוץ
amram,עמרם
amya,עמיה
anael,ענאל
anafa,אנפה
anastasia,אנסטסיה
anat,ענת
anati,ענתי
anatol,אנטול
anatoly,אנטולי
anava,ענוה
andre,אנדרה
andrea,אנדראה
andrew,אנדרו
andrey,אנדרי
andy,אנדי
anefa,ענפה
aner,ענר
aniam,אניעם
anil,אניל
anila,אנילה
anise,אניס
anita,אניטה
anna,אנה
annabel,אנאבל
annabella,אנבלה
annael,אנאל
anne,אן
annette,אנט
annick,אניק
anny,אני
anog,ענוג
anouk,אנוק
anthony,אנטוני
anton,אנטון
antonia,אנטוניה
antonina,אנטונינה
antonio,אנטוניו
anuga,ענוגה
anya,אניה
april,אפריל
arad,ארד
aram,ארם
aran,ארן
arava,ערבה
arbel,ארבל
argaman,ארגמן
ari,ארי
ariana,אריאנה
ariane,אריאן
arie,אריה
ariel,אריאל
ariela,אריאלה
arieli,אריאלי
arig,אריג
arik,אריק
arina,ארינה
arit,ארית
arkadi,ארקדי
arline,ארלין
armond,ארמונד
arnold,ארנולד
arnon,ארנון
artal,ערטל
arthur,ארתור
arza,ארזה
arzit,ארזית
asher,אשר
ashi,אשי
ashir,אשיר
ashira,אשירה
ashriel,אשריאל
asia,אסיה
assa,אסא
assael,עשאל
assaf,אסף
assafa,אספה
assi,אסי
assif,אסיף
atai,עתי
atar,עטר
atara,עטרה
ateka,אטקה
atel,עטל
ateret,עטרת
atid,עתיד
atida,עתידה
atir,עתיר
atira,עתירה
atli,אתלי
atniel,עתניאל
attalia,עתליה
atzil,אציל
atzmon,עצמון
atzmona,עצמונה
audrey,אודרי
aurelia,אורליה
av,אב
avel,אבאל
avgar,אבגר
avi,אבי
aviad,אביעד
aviah,אביה
aviam,אביעם
aviassaf,אביסף
avichai,אביחי
avichail,אביחיל
avichen,אביחן
avida,אבידע
avidan,אבידן
avidar,אבידר
avidor,אבידור
aviel,אביאל
aviela,אביאלה
aviem,אביאם
aviezer,אביעזר
avigaal,אביגאל
avigad,אביגד
avigail,אבגיל
avigal,אביגל
avigdor,אביגדור
aviguy,אביגיא
avihu,אביהו
avihud,אביהוד
avikam,אביקם
avim,אבים
avimelech,אבימלך
avinadav,אבינדב
avinoach,אבינח
avinoam,אבינועם
avior,אביאור
aviram,אבירם
aviran,אבירן
aviraz,אבירז
avisar,אבישר
avishag,אבישג
avishalom,אבישלום
avishay,אבישי
avit,אבית
avital,אביטל
avitzur,אביצור
aviv,אביב
aviva,אביבה
avivi,אביבי
avivit,אביבית
avivya,אביביה
avner,אבנר
avnet,אבנט
avnir,אבניר
avri,אברי
avriel,אבריאל
avrum,אברום
avshalom,אבשלום
aya,איה
ayala,איילה
ayalon,איילון
ayana,עיינה
ayelet,איילת
azaria,עזריה
azriel,עזריאל
azriela,עזריאלה
bahat,בהט
bar,בר
barak,ברק
baram,ברעם
barbara,ברברה
bareket,ברקת
barel,בראל
barkai,ברקאי
baruch,ברוך
bat,בת
batel,בתאל
batgal,בתגל
batli,בתלי
bator,בתאור
batya,בתיה
baz,בז
beatrice,ביאטריס
bechor,בכור
bechora,בכורה
beer,באר
beeri,בארי
beerya,באריה
bell,בל
bella,בלה
ben,בן
benaiah,בניה
benel,בנאל
beniel,בניאל
benli,בנלי
benno,בנו
benny,בני
bentzi,בנצי
bereshit,בראשית
bernard,ברנרד
bernice,ברניס
berri,ברי
bertina,ברטינה
beth,בט
bettina,בטינה
betty,בטי
betuel,בתואל
beyla,בילה
bildad,בלדד
bilha,בילהה
billy,בילי
bina,בינה
binnat,בינת
binyamin,בינימין
biran,בירן
biranit,בירנית
blanca,בלנקה
blanch,בלאנש
bluma,בלומה
bnaya,בניה
bnayahu,בניהו
boaz,בועז
bogdan,בוגדן
bonita,בוניטה
bonnie,בוני
boris,בוריס
bosem,בושם
bosmat,בושמת
botzer,בוצר
bracha,ברכה
braindel,בריינדל
brenda,ברנדה
brit,ברית
brnardo,ברנרדו
brooke,ברוק
brosh,ברוש
bruce,ברוס
brucha,ברוכה
bruna,ברונה
bruno,ברונו
brurya,ברוריה
bryan,בריאן
bsora,בשורה
cami,קמי
camile,קמיל
camilla,קמילה
candy,קנדי
carmel,כרמל
carmela,כרמלה
carmelit,כרמלית
carmen,כרמן
carmia,כרמיה
carmit,כרמית
carmon,כרמון
celine,סלין
chai,חי
chaim,חיים
chalom,חלום
chamutal,חמוטל
chana,חנה
chanan,חנן
chananel,חננאל
chananiel,חנניאל
chananya,חנניה
chanel,שאנל
chani,חני
chanina,חנינה
chanit,חנית
chanita,חניתה
chanoch,חנוך
chantal,שנטל
chanuka,חנוכה
charleen,שרלין
charlotte,שרלוט
chasid,חסיד
chasida,חסידה
chassia,חסיה
chatzav,חצב
chava,חוה
chavatzelet,חבצלת
chaviv,חביב
chaviva,חביבה
chavivit,חביבית
chaya,חיה
chayai,חיי
chayut,חיות
chayuta,חיותה
chazon,חזון
chedva,חדוה
chefetz,חפץ
cheftziba,חפציבה
cheli,חלי
chemdat,חמדת
chemi,חמי
chen,חן
chermon,חרמון
chermona,חרמונה
cherut,חירות
cheryl,שריל
chesed,חסד
chezi,חזי
chftzi,חפצי
chiba,חיבה
chilik,חיליק
chinanit,חיננית
chiskyahu,חזקיהו
chita,חיטה
chof,חוף
chofesh,חופש
chofi,חופי
chofit,חופית
chofshiya,חופשיה
choref,חורף
choresh,חורש
chorev,חורב
choshen,חושן
choze,חוזה
christina,כריסטינה
christophr,כריסטופר
cilia,סיליה
clara,קלרה
clarissa,קלריסה
claude,קלוד
claudette,קלודט
claudine,קלודין
claudio,קלאודיו
clementine,קלמנטין
colin,קולין
collette,קולט
dafna,דפנה
dagan,דגן
dahlia,דליה
dakar,דקר
daly,דלי
dan,דן
dana li,דנה
dandan,דנדן
danel,דנאל
daniela,דניאלה
danit,דנית
danny,דני
danor,דנאור
danya,דניה
daphi,דפי
daphni,דפני
dar,דר
darel,דראל
daria,דריה
datia,דתיה
dave,דייב
david,דויד
davidi,דוידי
daya,דיה
daysi,דייזי
dean,דין
debbie,דבי
dekel,דקל
delphine,דלפין
demitry,דמיטרי
denise,דניס
dgani,דגני
dgania,דגניה
dganit,דגנית
diana,דיאנה
diane,דיאן
diego,דיאגו
dikla,דיקלה
diklah,דקלה
dillen,דילן
dima,דימה
dimitri,דימטרי
dimona,דימונה
dina,דינה
dinur,דינור
dita,דיתה
diti,דיתי
ditza,דיצה
diva,דיוה
dlila,דלילה
dolev,דולב
dolly,דולי
dolores,דולורס
dolphin,דולפין
dominic,דומיניק
don,דון
donald,דונלד
donna,דונה
dor,דור
dora,דורה
doran,דורן
dori,דורי
doria,דוריה
dorian,דוריאן
doriel,דוריאל
dorina,דורינה
dorine,דורין
doris,דוריס
dorit,דורית
dorli,דורלי
doron,דורון
dorothy,דורותי
dotan,דותן
dov,דב
dovev,דובב
dovrat,דברת
dror,דרור
drora,דרורה
drorit,דרורית
drorli,דרורלי
dubi,דובי
dudi,דודי
dudu,דודו
dvash,דבש
dvir,דביר
dvira,דבירה
dvora,דבורה
dvori,דבורי
dvorit,דבורית
earnest,ארנסט
eden,אדן
edi,אדי
edith,אדית
edmond,אדמונד
edna,עדנה
edom,אדום
edut,עדות
edward,אדוארד
edwin,אדווין
effi,אפי
efraim,אפריים
efrat,אפרת
egoz,אגוז
ehud,אהוד
eilat,אילת
eilon,אילון
einan,עינן
einat,עינת
einav,עינב
eitam,איתם
eitan,איתן
eitana,איתנה
el,אל
ela,אלה
elad,אלעד
elada,אלעדה
elaine,איליין
elamar,אלאמר
elanor,אלאנור
elazar,אלעזר
elda,אלדע
eldad,אלדד
eldan,אלדן
eldar,אלדר
eldor,אלדור
eleanor,אלינור
elena,אלנה
eleni,אלני
elhanan,אלחנן
eli,אלי
eliad,אליעד
elian,אליאן
eliana,אליענה
elianna,אליאנה
elianora,אליאנורה
elias,אליאס
eliat,אליאת
eliav,אליאב
elichai,אליחי
elidan,אלידן
elidor,אלידור
eliel,אליאל
elihav,אליהב
elihu,אליהוא
elimelech,אלימלך
elimor,אלימור
elinatan,אלינתן
elinoam,אלינועם
elinoar,אלינוער
elinoy,אלינוי
elior,אליאור
eliora,אליאורה
elioz,אליעוז
eliram,אלירם
eliran,אלירן
eliraz,אלירז
eliron,אלירון
elisa,אליסה
elisabetta,אליזבטה
elisha,אלישע
elishama,אלישמע
elishar,אלישר
elishay,אלישי
elisheva,אלישבע
elital,אליטל
elitzafan,אליצפן
elitzur,אליצור
eliya,אליה
eliyahu,אליהו
eliyashiv,אלישיב
eliza,אליזה
elizabeth,אליזבט
elka,עלקא
elnatan,אלנתן
elor,אלאור
elori,אלאורי
elram,אלרם
elran,אלרן
elraz,אלרז
elroi,אלראי
elrom,אלרום
elron,אלרון
elsa,אלזה
elul,אלול
elvira,אלבירה
elyada,אלידע
elyakim,אליקים
elyam,אלים
elyaniv,אליניב
elyassaf,אליאסף
elyosef,אליוסף
emanuel,עמנואל
emanuela,עמנואלה
emek,עמק
emi,אמי
emil,אמיל
emilia,אמיליה
emilie,אמילי
emilio,אמיליו
emma,אמה
emuna,אמונה
enoch,חנוך
enosh,אנוש
enrico,אנריקו
enrique,אנריקה
enya,הניה
eran,ערן
eranit,ערנית
erel,אראל
ereli,אראלי
erella,אראלה
eretz,ארץ
erez,ארז
erga,ערגה
erika,אריקה
erin,ארין
erno,ארנו
erving,אירוינג
eshbal,אשבל
eshchar,אשחר
eshed,אשד
eshel,אשל
eshkar,אשכר
eshkol,אשכול
estee,אסתי
esther,אסתר
etam,עיטם
etel,אטל
etgar,אתגר
eti,אתי
etiel,אתיאל
etty,אטי
etzion,עציון
etziona,עציונה
eva,אוה
eve,איב
evelina,אבלינה
eveline,אבלין
evron,אברון
evyassaf,אביאסף
evyatar,אביתר
eyal\ayal,אייל
eylam,עילם
eynam,עינם
ezer,עזר
ezra,עזרא
ezri,עזרי
fabian,פביאן
fabiana,פביאנה
fabio,פביו
fania,פאניה
fanni,פאני
faran,פארן
favel,פבל
federico,פדריקו
feiga,פיגא
felix,פליקס
ferdinand,פרדיננד
fernando,פרננדו
feyga,פייגה
fiby,פיבי
fiona,פיונה
fleurette,פלורית
flora,פלורה
flori,פלורי
florina,פלורינה
fortuna,פורטונה
fradel,פראדל
fraide,פרידא
francesca,פרנצסקה
francios,פרנסואה
francis,פרנסיס
franco,פרנקו
frank,פרנק
franz,פרנץ
fred,פרד
freddy,פרדי
freida,פריידא
frida,פרידה
fritze,פריץ
fruma,פרומה
gaal,גאל
gaash,געש
gabi,גבי
gabriel,גבריאל
gachelet,גחלת
gad,גד
gadi,גדי
gadiel,גדיאל
gadit,גדית
gafna,גפנה
gafnit,גפנית
gal,גל
gali,גלי
galia,גליה
galil,גליל
galila,גלילה
galina,גלינה
galit,גלית
galon,גלאון
galor,גלאור
gamliel,גמליאל
ganel,גנאל
ganit,גנית
gat,גת
gavish,גביש
gavriel,גבריאל
gavriel,גבריאל
gaya,גאיה
gazit,גזית
gdalya,גדליה
gedaliah,גדליה
gedaliahu,גדליהו
gedalya,גדליה
gefen,גפן
genia,גניה
gera,גרא
gershom,גרשום
gershon,גרשון
gerta,גרטה
geula,גאולה
geut,גאות
gev,גב
geva,גבע
gevaram,גברעם
gideon,גדעון
gideona,גדעונה
gidi,גידי
gidon,גדעון
gidon,גדעון
gilad,גילעד
gilad,גילעד
gilat,גילת
gilboa,גלבוע
gilead,גילעד
gili,גילי
ginat,גינת
ginath,גינת
giora,גיורא
gita,גיטה
gital,גיטל
gitay,גיתאי
giti,גיטי
gitit,גיתית
givol,גבעול
givon,גבעון
gladis,גלאדיס
glorya,גלוריה
goel,גואל
gofna,גופנה
golan,גולן
golani,גולני
golda,גולדה
goldi,גולדי
gome,גומא
gonen,גונן
goral,גורל
goshen,גושן
grace,גרייס
gracia,גרציה
graciela,גרציאלה
granit,גרניט
gregory,גרגורי
gur,גור
gurel,גוראל
guri,גורי
gurit,גורית
gurya,גוריה
guryon,גוריון
gustav,גוסטב
guy,גאי
hadar,הדר
hadara,הדרה
hadari,הדרי
hadarya,הדריה
hadas,הדס
hadoram,הדורם
hagar,הגר
hagara,הגרה
hagut,הגות
haleli,הללי
haleluya,הללויה
halelya,הלליה
hali,הלי
halit,הלית
halya,הליה
hana,חנה
hanan,חנן
hananya,חנניה
hani,חני
hanoch,חנוך
hans,הנס
haran,הרן
harduf,הרדוף
harel,הראל
harela,הראלה
harry,הארי
harvey,הרווי
hatty,הטי
hava,חוה
haydee,היידי
hayley,היילי
hector,הקטור
hed,הד
hedda,הדה
hedy,הדי
heichal,היכל
heinrich,הנריך
hela,הלה
helen,הלן
hellena,הלנה
helleni,הלני
hendel,הנדל
henna,הענא
henny,הני
henri,הנרי
henriette,הנרייט
henrique,הנריקה
hermann,הרמן
herschel,הרשל
hertzelia,הרצליה
herzl,הרצל
hi,היא
hila,הילה
hilary,הילרי
hilay,הילאי
hilda,הילדה
hili,הילי
hilit,הילית
hillel,הלל
hilli,הילי
hinda,הינדא
hindel,הינדל
hirsh,הירש
hod,הוד
hodaya,הודיה
hodel,הודאל
hodelya,הודליה
holly,הולי
horiya,הוריה
hosha,הושע
howard,הווארד
hugo,הוגו
ida,אידה
idan,אידן
idel,איידל
idit,עידית
ido,אידו
ifah,יפעה
igor,איגור
ilan,אילן
ilana,אילנה
ilani,אילני
ilanit,אילנית
ilay,אילאי
ilaya,עילאיה
ili,אילי
ilil,אילאיל
ilit,אילית
ilona,אילונה
ilya,איליה
imber,אימבר
imri,אימרי
inaam,ינעם
inbal,עינבל
inbar,עינבר
inga,אינגה
ingrid,אינגריד
inka,אינקה
inna,אינה
iota,יוטא
ira,אירה
irad,עירד
iram,עירם
iran,עירן
irena,אירנה
irina,אירינה
iris,איריס
irit,אירית
isabel,איזבל
isabella,איזבלה
isai,איסיי
isar,איסר
isashar,ישכר
isgav,ישגב
israel,ישראל
israela,ישראלה
israelit,ישראלית
issy,איסי
ita,איטה
itael,איתהאל
itamar,איתמר
itan,איטן
itay,איתי
itiel,איתיאל
itiya,איתיה
itro,יתרו
itur,עיטור
itzik,איציק
ivan,איוון
ivete,איווט
ivona,איוונה
ivonna,איבונה
ivonne,איבון
ivri,עברי
ivrya,עבריה
ivy,איבי
iyar,אייר
iyov,איוב
izhar,יצהר
izik,איזיק
izrael,יזרעאל
izraela,יזרעאלה
jacki,זקי
jacob,יעקב
jan,זאן
jane,גן
jeck,זק
jehoiada,יהוידע
jehonadab,יהונדב
jehoram,יהורם
jemima,ימימה
jennie,גני
jerusalem,ירושלים
jill,גיל
joab,יואב
jobab,יובב
joel,יואל
johanan,יוחנן
johnny,גוני
jonathan,יונתן
joram,יהורם
joseph,יוסף
joshua,יהושוע
juan,חואן
juana,חואנה
jubal,יובל
judah,יהודה
juliana,יוליאנה
julio,חוליו
julius,יוליוס
july,יולי
kachal,כחל
kadan,כדן
kadit,כדית
kaduri,כדורי
kadya,כדיה
kai,קאי
kalanit,כלנית
kalman,קלמן
kama,קמה
kamai,קמאי
kamea,קמיע
kanarit,קנרית
kaniel,קניאל
karen,קארן
kari,קרי
karin,קארין
karina,קארינה
karkom,כרכום
karl,קרל
karlos,קרלוס
karni,קרני
karnit,קרנית
karol,קרול
karolina,קרולינה
karoline,קרולין
karolynn,קרוליין
kasiff,כסיף
kaspit,כספית
kate,קייט
katelin,קטלין
katelina,קטלינה
katerina,קטרינה
katharine,קתרין
katherine,קטרין
kati,קטי
katia,קטיה
katriel,כתריאל
katy,קייטי
katzir,קציר
kaya,קאיה
kaylee,קיילי
keala,קילה
kedem,קדם
kedma,קדמה
kei,קיי
keidar,קידר
keisaria,קיסריה
kelly,קלי
kenan,קינן
kenny,קני
kenya,קניה
kerem,כרם
keren,קרן
keret,קרת
kesem,קסם
keshet,קשת
keter,כתר
kevin,קווין
kfir,כפיר
kim,קים
kineret,כנרת
kinneret,כינרת
kinor,כנור
kirill,קיריל
kisuf,כיסוף
kit,קיט
klil,כליל
klila,כלילה
kobi,קובי
kochav,כוכב
kochava,כוכבה
kochavi,כוכבי
kochavit,כוכבית
kochevet,כוכבת
kochi,כוכי
kol,קול
konstantin,קונסטנטין
koral,קורל
koranit,קורנית
koren,קורן
koresh,כורש
kori,קורי
korina,קורינה
kornelia,קורנליה
korrine,קורין
kotel,כותל
kristina,קריסטינה
ksenia,קסניה
laad,לעד
lachan,לחן
lael,לאל
lahat,להט
lahav,להב
lahava,להבה
laila,לילה
lali,לאלי
lara,לארה
larissa,לריסה
lary,לארי
laura,לאורה
lavan,לבן
lavi,לביא
lea,לאה
lea,לאה
leah,לאה
lear,ליר
lei,ליי
leizer,לייזר
lena,לנה
lenina,לנינה
lenny,לני
leo,לאו
leon,לאון
leonard,לאונרד
leonardo,לאונרדו
leonid,לאוניד
leonor,לאונור
leonora,ליאונורה
leroy,לירוי
leshem,לשם
leslie,לסלי
lev,לב
levana,לבנה
levavit,לבבית
levia,לביאה
leviya,לויה
levona,לבונה
li,לי
liad,ליאד
liam,ליעם
liana,ליאנה
lianna,ליענה
liat,ליאת
liati,ליאתי
liav,ליאב
liba,ליבא
libat,ליבאת
libi,ליבי
libit,ליבית
lichai,ליחי
lidan,לידן
lidar,לידר
lidi,לידי
lidya,לידיה
liel,ליאל
lieli,ליאלי
ligad,ליגד
lihem,ליהם
lihi,ליהי
lihod,ליהוד
lihu,ליה
lilach,לילך
lilian,ליליאן
liliana,ליליאנה
lilit,לילית
lily,לילי
lilya,ליליה
limei,לימאי
lin,לין
linda,לינדה
linette,לינט
linor,לינור
linoya,לינוי
lion,ליאון
lior,ליאור
liora,ליאורה
liori,ליאורי
liorit,ליאורית
lioz,ליעוז
lipa,ליפא
liram,לירם
liri,לירי
lirit,לירית
lirom,לירום
lirona,לירונה
lishar,לישר
lissa,ליסה
liv,ליב
live,לייב
livnat,לבנת
livne,ליבנה
liya,לייה
liz,ליז
liza,ליזה
lizetta,ליזטה
lizi,ליזי
lola,לולה
lolita,לוליטה
loreta,לורטה
lori,לורי
lorrain,לוריין
lorraine,לורין
lotem,לטם
lotus,לוטוס
lou,לו
louie,לואי
louis,לואיס
louisa,לואיסה
luba,לובה
luca,לוקה
lucia,לוסיה
luciana,לוסיאנה
lucille,לוסיל
lucy,לוסי
ludmila,לודמילה
lulu,לולו
luna,לונה
luria,לוריא
luz,לוז
luzit,לוזית
lyovov,ליובוב
lyudmila,ליודמילה
maagan,מעגן
maayan,מעיין
maayana,מעינה
mabel,מאבל
mace,מייס
madeleine,מדליין
madelena,מדלנה
madelene,מדלן
magal,מגל
magali,מגלי
magda,מגדה
magdalena,מגדלנה
magen,מגן
maggie,מגי
mahol,מחול
malaach,מלאך
malachi,מלאכי
mali,מלי
malka,מלכה
manor,מנור
manuel,מנואל
maor,מאור
maoz,מעוז
mapal,מפל
marcella,מרסלה
marcelle,מרסל
marco,מרקו
marcus,מרקוס
